영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
좋은 친구들,이도윤,(주)씨제이이엔엠,2014-07-10,장편,한국,371,3201527031,404456,"869,573,831","104,800",범죄,청소년관람불가,일반영화
소리도 없이,홍의정,(주)에이스메이커무비웍스,2020-10-15,장편,한국,1084,3558023900,403326,"843,075,990","93,396",범죄,15세관람가,일반영화
전설의 고향,김지환,(주)프라임엔터테인먼트,2007-05-23,장편,한국,0,0,402117,0,"86,338",공포(호러),12세관람가,일반영화
아메리칸 메이드,더그 라이만,유니버설픽쳐스인터내셔널 코리아(유),2017-09-14,장편,미국,691,3175539145,401541,"932,267,045","114,257",범죄,15세관람가,일반영화
아스트로 보이-아톰의 귀환,데이빗 보워스,㈜케이디미디어,2010-01-13,장편,미국,285,2640270821,401477,"642,250,500","91,867",애니메이션,전체관람가,일반영화
버즈 오브 프레이(할리 퀸의 황홀한 해방),캐시 얀,워너브러더스 코리아(주),2020-02-05,장편,미국,963,3548999190,401411,"1,138,747,780","122,787",액션,15세관람가,일반영화
옹박 - 무에타이의 후예,프라챠 핀카엡,(주)쇼박스,2004-05-26,장편,기타,0,0,400958,0,"109,049",액션,15세관람가,일반영화
닌자터틀,조나단 리브스만,(주)씨제이이엔엠,2014-08-28,장편,미국,479,3321120147,400329,"1,078,017,647","120,563",액션,12세관람가,일반영화
판타스틱 4,조쉬 트랭크,이십세기폭스코리아(주),2015-08-20,장편,미국,451,3029310600,399667,"820,859,100","103,173",액션,12세관람가,일반영화
스위치,마대윤,롯데컬처웍스(주)롯데엔터테인먼트,2023-01-04,장편,한국,912,3791464810,398964,"977,792,939","103,811",기타,12세관람가,일반영화
비와 당신의 이야기,조진모,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-04-28,장편,한국,957,3634766350,398580,"1,147,542,800","128,739",드라마,전체관람가,일반영화
익스펜더블,실베스터 스탤론,(주)싸이더스,2010-08-19,장편,미국,256,3025538174,398097,"986,171,000","123,723",스릴러,청소년관람불가,일반영화
뜨거운 피,천명관,(주)스튜디오디에이치엘,2022-03-23,장편,한국,1279,3782750970,398090,"882,288,910","95,533",범죄,15세관람가,일반영화
사랑이 무서워,정우철,롯데쇼핑㈜롯데엔터테인먼트,2011-03-10,장편,한국,290,2992783000,397923,"706,539,500","88,089",코미디,15세관람가,일반영화
도마뱀,강지은,(주)시네마서비스,2006-04-27,장편,한국,0,0,397913,0,"144,847",멜로/로맨스,12세관람가,일반영화
몬스터 패밀리,호거 태프,(주)키다리이엔티,2017-12-21,장편,독일,617,2941183700,397633,"545,562,900","69,798",애니메이션,전체관람가,일반영화
무간도,맥조휘,(주)디스테이션,2003-02-21,장편,기타,0,0,397448,0,"157,349",액션,청소년관람불가,독립/예술영화
명탐정 코난 : 이차원의 저격수,시즈노 코분,(주)씨제이이엔엠,2014-08-06,장편,일본,299,2757396000,397381,"596,923,300","83,779",애니메이션,12세관람가,일반영화
날아라 허동구,박규태,(주)쇼박스,2007-04-26,장편,한국,0,0,396811,0,"111,265",가족,전체관람가,일반영화
집행자,최진호,(주)스폰지이엔티,2009-11-05,장편,한국,264,2961477652,395865,"828,353,500","105,438",드라마,청소년관람불가,독립/예술영화
파이널 데스티네이션,제임스 왕,(주)미로비젼,2006-05-11,장편,미국,0,0,395755,0,"156,859",공포(호러),청소년관람불가,일반영화
명탐정 코난 : 제로의 집행인,타치카와 유즈루,(주)씨제이이엔엠,2018-08-08,장편,일본,542,3007522361,395408,"701,649,561","88,325",애니메이션,12세관람가,일반영화
더 독,루이스 리테리어,(주)아펙스 엔터테인먼트,2005-09-16,장편,프랑스,0,0,395000,0,"55,922",액션,15세관람가,일반영화
모노폴리,이항배,롯데쇼핑㈜롯데엔터테인먼트,2006-06-01,장편,한국,0,0,394935,0,"109,699",범죄,15세관람가,일반영화
천년호,이광훈,(주)시네마서비스,2003-11-28,장편,한국,0,0,393962,0,"101,478",멜로/로맨스,15세관람가,일반영화
헬보이 2 : 골든 아미,길예르모 델 토로,유니버설픽쳐스인터내셔널 코리아(유),2008-09-25,장편,미국,279,2522851500,391513,"706,767,500","102,531",SF,12세관람가,일반영화
멋진 하루,이윤기,롯데쇼핑㈜롯데엔터테인먼트,2008-09-25,장편,한국,299,2554838451,390741,"1,174,680,667","168,110",드라마,12세관람가,독립/예술영화
배드 가이즈,피에르 페리펠,유니버설픽쳐스인터내셔널 코리아(유),2022-05-04,장편,미국,844,3680403970,390455,"788,761,100","81,590",애니메이션,전체관람가,일반영화
명탐정 코난 : 수평선상의 음모,야마모토 야스이치로,(주)씨제이이엔엠,2013-08-07,장편,일본,316,2460173000,389253,"417,563,500","63,735",애니메이션,12세관람가,일반영화
월래스와 그로밋 : 거대토끼의 저주,닉 파크,(주)씨제이이엔엠,2005-11-04,장편,영국,0,0,388499,0,"138,893",애니메이션,전체관람가,일반영화
피터 래빗,윌 글럭,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2018-05-16,장편,미국,599,3006258100,388300,"598,557,400","74,077",애니메이션,전체관람가,일반영화
론 레인저,고어 버빈스키,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-07-04,장편,미국,401,2750149500,387527,"981,855,500","134,579",액션,15세관람가,일반영화
내 심장을 쏴라,문제용,(주)리틀빅픽쳐스,2015-01-28,장편,한국,452,2856859132,387409,"602,511,932","79,237",드라마,15세관람가,일반영화
제미니 맨,이안,롯데컬처웍스(주)롯데엔터테인먼트,2019-10-09,장편,미국,845,3295969230,387342,"956,421,180","107,352",액션,12세관람가,일반영화
나의 독재자,이해준,롯데쇼핑㈜롯데엔터테인먼트,2014-10-30,장편,한국,654,2906692546,385934,"882,787,046","111,369",드라마,15세관람가,일반영화
명장,진가신,롯데쇼핑㈜롯데엔터테인먼트,2008-01-30,장편,중국,236,2559950500,385841,"819,307,000","116,731",액션,청소년관람불가,일반영화
천재 강아지 미스터 피바디,롭 민코프,(주)씨제이이엔엠,2014-04-24,장편,미국,533,2859791400,385552,"752,045,900","96,612",애니메이션,전체관람가,일반영화
서복,이용주,(주)씨제이이엔엠,2021-04-15,장편,한국,1382,3627302450,385284,"988,210,650","104,995",드라마,15세관람가,일반영화
킬러의 보디가드 2,패트릭 휴즈,TCO(주)더콘텐츠온,2021-06-23,장편,미국,975,3769396180,384997,"1,198,626,740","121,534",액션,청소년관람불가,일반영화
럭키 넘버 슬레븐,폴 맥기건,롯데쇼핑㈜롯데엔터테인먼트,2006-06-22,장편,미국,0,0,384790,0,"132,654",스릴러,청소년관람불가,일반영화
언더 워터,자움 콜렛 세라,유니버설픽쳐스인터내셔널 코리아(유),2016-07-13,장편,미국,518,3111772391,384789,"722,677,691","87,120",공포(호러),15세관람가,일반영화
크로니클,조쉬 트랭크,이십세기폭스코리아(주),2012-03-15,장편,미국,324,2881024000,383862,"945,721,500","120,118",액션,15세관람가,일반영화
신석기 블루스,김도혁,(주)쇼박스,2004-12-30,장편,한국,0,0,383674,0,"82,348",코미디,15세관람가,일반영화
사랑의 레시피,스콧 힉스,워너브러더스 코리아(주),2007-08-30,장편,미국,0,0,383655,0,"195,222",멜로/로맨스,전체관람가,일반영화
보통사람,김봉한,오퍼스픽쳐스(유),2017-03-23,장편,한국,621,2956397623,383336,"736,134,723","92,067",드라마,15세관람가,일반영화
소수의견,김성제,(주)시네마서비스,2015-06-24,장편,한국,398,2891431205,383332,"998,799,305","128,825",드라마,15세관람가,일반영화
트론: 새로운 시작,조셉 코신스키,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-12-29,장편,미국,379,4258700247,382607,"1,878,516,000","161,218",SF,12세관람가,일반영화
싸움,한지승,(주)시네마서비스,2007-12-12,장편,한국,0,0,382422,0,"121,487",멜로/로맨스,15세관람가,일반영화
내 이름은 칸,카란 조하르,필라멘트픽쳐스,2011-03-24,장편,기타,84,2820922500,381243,"1,210,673,500","157,628",드라마,12세관람가,독립/예술영화
