순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
4599,나이트 헌터,,,(유)조이앤시네마,와이드 릴리즈(주),2020-01-29,개봉영화,장편,캐나다,141,74513100,11849,22878980,3488,액션,15세이상관람가,일반영화
4600,페어리테일: 봉황의 무녀,후지모리 마사야,,(주)머스트씨무비,(주)나이너스엔터테인먼트,2013-02-28,개봉영화,장편,일본,50,79291500,11830,19749500,2825,애니메이션,전체관람가,일반영화
4601,윈터스 본,데브라 그래닉,,CJ ENM,"CJ ENM,씨제이 씨지브이(CJ CGV)(주)",2011-01-20,개봉영화,장편,미국,11,93445200,11823,58296200,7232,스릴러,청소년관람불가,독립/예술영화
4602,브리치,빌리 레이,유니버셜 픽쳐스,필름메신저,필름메신저,2007-08-30,개봉영화,장편,미국,0,0,11811,0,7574,스릴러,15세이상관람가,일반영화
4603,시스터,우슬라 마이어,,그린나래미디어(주),그린나래미디어(주),2012-08-09,개봉영화,장편,프랑스,19,87788500,11808,64218500,8177,드라마,12세이상관람가,독립/예술영화
4604,피쉬와 칩스 극장판,댄 크레치,,(주)토러스엔터테인먼트,"(주)마인스 엔터테인먼트,(유)영화사 화수분",2014-03-06,개봉영화,장편,호주,158,80252400,11802,19836500,2698,애니메이션,전체관람가,독립/예술영화
4605,현기증,이돈구,(주)한이야기,,플러스엠 엔터테인먼트,2014-11-06,개봉영화,장편,한국,71,79449300,11785,29815300,4273,가족,청소년관람불가,독립/예술영화
4606,결혼하지 않아도 괜찮을까,미노리카와 오사무,,골든타이드픽처스(주),프리비젼엔터테인먼트,2015-04-09,개봉영화,장편,일본,27,96425500,11782,76693100,9264,드라마,12세이상관람가,독립/예술영화
4607,겁쟁이 페달: 더 무비,나가누마 노리히로,,(주)미디어캐슬,(주)미디어캐슬,2016-01-14,개봉영화,장편,일본,52,83591192,11777,42151324,5933,애니메이션,전체관람가,독립/예술영화
4608,돈 존,조셉 고든 레빗,,(주)누리픽쳐스,(주)미디어데이,2014-01-09,개봉영화,장편,미국,49,94451000,11774,55456000,6807,코미디,청소년관람불가,독립/예술영화
4609,차가운 장미,필립 클로델,,(주)티캐스트콘텐츠허브,(주)티캐스트콘텐츠허브,2014-05-29,개봉영화,장편,프랑스,22,90167000,11743,74234500,9362,드라마,15세이상관람가,독립/예술영화
4610,부릉! 부릉! 브루미즈: 스피더의 모험 일기,이영준,(주)삼지애니메이션,,(주)삼지애니메이션,2016-12-15,개봉영화,장편,한국,194,89425500,11735,25294700,3349,애니메이션,전체관람가,독립/예술영화
4611,존 레논 비긴즈-노웨어 보이,샘 테일러-우드,에코스 필름,(주)케이앤엔터테인먼트,프리비젼엔터테인먼트,2010-12-09,개봉영화,장편,영국,15,87373085,11728,67514800,8915,드라마,15세이상관람가,독립/예술영화
4612,미니 자이언트,마크 브라운로우,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2016-01-28,개봉영화,장편,영국,46,72748500,11703,19327500,2846,애니메이션,전체관람가,독립/예술영화
4613,하늘의 푸르름을 아는 사람이여,나가이 타츠유키,,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),2022-03-16,개봉영화,장편,일본,121,104358500,11688,40768100,4636,애니메이션,12세이상관람가,독립/예술영화
4614,장민호 드라마 최종회,,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",2022-01-24,개봉영화,장편,한국,81,223662200,11687,87142100,4599,공연,전체관람가,일반영화
4615,출동! 도토리 구조대,로스 베노커,,(주)영화사오원,(주)디스테이션,2019-03-28,개봉영화,장편,미국,260,86682260,11676,21038400,2525,애니메이션,전체관람가,독립/예술영화
4616,세라핀,마르탱 프로보스트,,(주)에스와이코마드,(주)영화사구안,2009-06-04,개봉영화,장편,프랑스,4,80955534,11674,72720500,10359,전쟁,12세이상관람가,독립/예술영화
4617,소명 하늘의 별,신현원,신현원프로덕션,,(주)에스피엠,2013-03-21,개봉영화,장편,한국,33,75082000,11666,26749500,3690,다큐멘터리,12세이상관람가,독립/예술영화
4618,썸니아,마이크 플래너건,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2016-05-25,개봉영화,장편,미국,200,92785045,11662,28921045,3433,판타지,15세이상관람가,독립/예술영화
4619,범죄소년,강이관,"국가인권위원회,쏠라픽처스 주식회사",,타임스토리그룹(주),2012-11-22,개봉영화,장편,한국,56,81259800,11655,36793800,4969,드라마,15세이상관람가,독립/예술영화
4620,검은손,박재식,골든타이드픽처스(주),,(주)스톰픽쳐스코리아,2015-04-16,개봉영화,장편,한국,178,89815665,11650,19052465,2326,공포(호러),청소년관람불가,일반영화
4621,퍼니셔,조나단 헨스라이,마블 엔터테인먼트,콜럼비아트라이스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2004-09-10,개봉영화,장편,미국,0,0,11645,0,2638,액션,18세관람가,일반영화
4622,마이 리틀 아이,마크 에반스,,,쇼이스트(주),2003-07-25,개봉영화,장편,미국,0,0,11638,0,4140,범죄,18세관람가,일반영화
4623,"러브, 어게인",핼리 메이어스-샤이어,,(주)이수C&E,(주)이수C&E,2017-11-16,개봉영화,장편,미국,177,89873800,11628,43222000,5456,드라마,12세이상관람가,독립/예술영화
4624,피그,,,판씨네마(주),판씨네마(주),2022-02-23,개봉영화,장편,미국,113,106769970,11625,66802570,6790,드라마,12세이상관람가,독립/예술영화
4625,리틀 애쉬 : 달리가 사랑한 그림,폴 모리슨,에이피티 필름스,판씨네마(주),판씨네마(주),2010-01-14,개봉영화,장편,영국,12,89023200,11613,61208500,7951,드라마,청소년관람불가,독립/예술영화
4626,트립 투 스페인,마이클 윈터바텀,,찬란,아이 엠,2018-05-17,개봉영화,장편,영국,60,91615317,11596,56662317,6880,코미디,15세이상관람가,독립/예술영화
4627,나는보리,김진유,파도,,(주)영화사 진진,2020-05-21,개봉영화,장편,한국,158,83320360,11579,47516440,6321,가족,전체관람가,독립/예술영화
4628,페르세폴리스,"뱅상 파로노,마르잔 사트라피",,"(주)영화사 진진,(주)스폰지이엔티","(주)영화사 진진,(주)스폰지이엔티",2008-05-08,개봉영화,장편,프랑스,8,78643600,11575,72843500,10600,애니메이션,12세이상관람가,독립/예술영화
4629,디시에르토,조나스 쿠아론,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2016-10-05,개봉영화,장편,멕시코,119,86697500,11568,26742500,3545,드라마,15세이상관람가,독립/예술영화
4630,그레텔과 헨젤,오즈 퍼킨스,,"(유)조이앤시네마,주식회사 더쿱","(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2020-07-08,개봉영화,장편,캐나다,325,101464540,11564,26507720,2936,판타지,15세이상관람가,일반영화
4631,주키퍼스 와이프,니키 카로,,(주)메인타이틀픽쳐스,(주)영화사 빅,2017-10-12,개봉영화,장편,미국,100,88265946,11557,45397446,5722,드라마,12세이상관람가,독립/예술영화
4632,최종병기 활 감독확장판,김한민,"(주)디씨지플러스,(주)다세포클럽",,롯데쇼핑㈜롯데엔터테인먼트,2011-10-20,개봉영화,장편,한국,52,86374000,11547,37105500,4711,사극,청소년관람불가,일반영화
4633,야곱 신부의 편지,클라우스 해로,,뉴원시네마,뉴원시네마,2012-05-10,개봉영화,장편,핀란드,33,79767000,11546,51748000,7332,드라마,12세이상관람가,독립/예술영화
4634,지미스 홀,켄 로치,,그린나래미디어(주),그린나래미디어(주),2014-10-09,개봉영화,장편,영국,34,85661500,11545,57185000,7258,드라마,12세이상관람가,독립/예술영화
4635,핫 썸머 나이츠,엘리야 바이넘,,주식회사 더쿱,"주식회사 더쿱,TCO(주)더콘텐츠온",2018-10-18,개봉영화,장편,미국,173,104536350,11526,62955150,6597,드라마,15세이상관람가,독립/예술영화
