,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,코로나,출연,평점
60,2653,크리미널,아리엘 브로멘,영화사 빅,2016-06-22,장편,영국,351,738985181,92358,"259,113,081","31,545",액션,15세관람가,독립/예술영화,2016,6,여름,217026182,0,"['라이언 레이놀즈', '케빈 코스트너', '게리 올드만', '토미 리 존스', '갤 가돗', '앨리스 이브']",7.96
61,2655,어메이징 모리스,토비 젠켈,블루라벨픽쳐스,2023-02-15,장편,독일,559,811786302,91833,"172,433,356","18,919",애니메이션,전체관람가,독립/예술영화,2023,2,겨울,112805094,0,"['휴 로리', '에밀리아 클라크', '데이빗 듈리스', '히메쉬 파텔', '젬마 아터튼']",8.26
62,2656,구스 베이비,크리스토퍼 젠킨스,이수C&E,2019-01-16,장편,미국,424,652090360,91430,"110,715,900","14,539",애니메이션,전체관람가,일반영화,2019,1,겨울,226678777,0,"['전현무', '유아', '박성광', '짐 개피건', '젠데이아 콜먼', '랜스 임', '레지 와츠']",8.81
63,2657,그 남자의 책 198쪽,김정권,성원아이컴,2008-10-23,장편,한국,220,575174333,91387,"201,387,333","30,318",멜로/로맨스,12세관람가,일반영화,2008,10,가을,147428639,0,"['이동욱', '유진']",7.12
64,2658,패솔로지,마크 쉬홀르만,롯데엔터테인먼트,2008-04-17,장편,미국,136,569157500,91253,"220,682,000","34,212",공포(호러),청소년관람불가,일반영화,2008,4,봄,147428639,0,"['마일로 벤티밀리아', '마이클 웨스톤']",5.97
65,2659,포커스,글렌 피카라,워너브러더스 코리아,2015-02-26,장편,미국,349,702878700,91164,"227,994,000","28,313",코미디,15세관람가,일반영화,2015,2,겨울,217299523,0,"['윌 스미스', '마고 로비', '로드리고 산토로']",7.11
66,2660,마마,안드레스 무시에티,유니버설픽쳐스인터내셔널 코리아,2013-01-23,장편,미국,164,662161500,91143,"224,271,500","29,260",공포(호러),15세관람가,일반영화,2013,1,겨울,213351030,0,"['엄정화', '김해숙', '유해진', '전수경', '류현경', '이형석']",7.88
69,2662,타워 하이스트,브렛 래트너,유니버설픽쳐스인터내셔널 코리아,2011-11-17,장편,미국,213,631715500,90840,"192,286,000","25,972",액션,12세관람가,일반영화,2011,11,가을,159724465,0,"['벤 스틸러', '에디 머피']",7.54
70,2663,노 게임 노 라이프 -제로-,이시즈카 아츠코,박수엔터테인먼트,2017-10-19,장편,일본,121,739368300,90718,"202,590,300","24,302",애니메이션,12세관람가,독립/예술영화,2017,10,가을,219876227,0,"['마츠오카 요시츠구', '카야노 아이', '히카사 요코', '타무라 유카리', '이구치 유카', '노토 마미코', '사와시로 미유키']",7.28
71,2664,둠스데이:지구 최후의 날,닐 마샬,영화사청어람,2008-06-19,장편,미국,203,598350500,90666,"184,110,500","26,258",SF,청소년관람불가,일반영화,2008,6,여름,147428639,0,"['로나 미트라', '밥 호스킨스', '에드리안 레스터', '알렉산더 시디그', '데이비드 오하라', '말콤 맥도웰']",5.95
72,2665,써니 감독판,강형철,씨제이이엔엠,2011-07-28,장편,한국,54,698549500,90562,"326,414,000","41,959",드라마,청소년관람불가,일반영화,2011,7,여름,159724465,0,"['유호정', '심은경', '강소라', '고수희', '김민영', '홍진희', '박진주', '이연경', '남보라', '김보미', '민효린']",9.12
73,2668,두다다쿵: 후후섬의 비밀,김지윤,넥스트엔터테인먼트월드,2023-02-15,장편,한국,514,817803025,90281,"130,772,875","13,781",애니메이션,전체관람가,일반영화,2023,2,겨울,112805094,0,"['이영아', '장경희', '엄상현', '이소영', '이은정', '김서영', '여민정', '신용우']",8.74
74,2671,주디,루퍼트 굴드,TCO더콘텐츠온,2020-03-25,장편,영국,479,738851760,89719,"323,361,140","38,273",드라마,12세관람가,독립/예술영화,2020,3,봄,59523967,1,['르네 젤위거'],8.4
75,2672,완벽한 파트너,박헌수,타임스토리그룹,2011-11-17,장편,한국,166,676141000,89526,"187,492,000","23,729",코미디,청소년관람불가,독립/예술영화,2011,11,가을,159724465,0,"['김영호', '김혜선', '김산호', '윤채이']",6.9
76,2673,더 보이,데이빗 야로베스키,소니픽쳐스엔터테인먼트코리아극장배급지점,2019-05-23,장편,미국,509,776591970,89429,"225,789,210","25,397",공포(호러),15세관람가,일반영화,2019,5,봄,226678777,0,"['엘리자베스 뱅크스', '잭슨 A.<b>던</b>', '데이비드 덴맨']",4.85
86,2674,더 매직: 리틀톰과 도둑공주,어네스토 파드롱,코리아스크린,2015-09-24,장편,기타,193,653636700,89358,"152,376,100","20,244",애니메이션,전체관람가,독립/예술영화,2015,9,가을,217299523,0,"['카를로스 블랑코', '몬티 카스티네이라스', '마리아 카스트로', '루이스 이글레시아스', '마리아 푸할테', '하비에르 레이']",7.81
87,2676,오베라는 남자,하네스 홀름,싸이더스,2016-05-25,장편,기타,255,711736888,89103,"359,658,888","43,635",드라마,12세관람가,독립/예술영화,2016,5,봄,217026182,0,"['필립 버그', '롤프 라스가드', '바하르 파르스', '이다 엥볼']",9.25
88,2678,페이스 블라인드,줄리앙 마그넷,마인스 엔터테인먼트,2012-06-21,장편,미국,179,660556169,88977,"227,353,169","28,629",범죄,청소년관람불가,일반영화,2012,6,여름,194890587,0,"['밀라 요보비치', '줄리안 맥마혼']",7.34
89,2679,더 콜,브래드 앤더슨,넥스트엔터테인먼트월드,2013-06-20,장편,미국,241,626952634,88953,"238,777,634","32,488",스릴러,청소년관람불가,일반영화,2013,6,여름,213351030,0,"['아비게일 브레스린', '할리 베리', '모리스 체스트넛']",8.32
90,2680,콜드 라잇 오브 데이,마브룩 엘 메크리,씨너스엔터테인먼트,2012-05-17,장편,미국,245,636555090,88522,"214,464,090","28,596",액션,15세관람가,일반영화,2012,5,봄,194890587,0,"['헨리 카빌', '브루스 윌리스', '시고니 위버']",6.22
91,2681,다음 소희,정주리,트윈플러스파트너스,2023-02-08,장편,한국,562,847134216,88489,"340,244,643","34,577",드라마,15세관람가,독립/예술영화,2023,2,겨울,112805094,0,"['김시은', '배두나']",9.44
92,2682,레이니 데이 인 뉴욕,우디 앨런,그린나래미디어,2020-05-06,장편,미국,563,784272200,88440,"338,103,180","37,178",코미디,15세관람가,독립/예술영화,2020,5,봄,59523967,1,"['티모시 샬라메', '엘르 패닝', '셀레나 고메즈', '주드 로', '리브 슈라이버', '디에고 루나']",6.2
93,2683,살인자,이기욱,영화사 빅,2014-01-15,장편,한국,207,656849000,88199,"93,792,500","11,952",스릴러,청소년관람불가,독립/예술영화,2014,1,겨울,215068958,0,"['마동석', '안도규', '김현수']",5.82
