순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분
16410,식지 않는 유부녀의 팬티 속,코이케.Jp,,,영진크리에이티브,2020-11-25,개봉영화,장편,일본,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16411,식탁에서 유혹하는 유부녀들,키무라 켄지,,(주)도키엔터테인먼트,도키엔터테인먼트,2017-09-19,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16412,신 금병매,진건화,,(유)조이앤컨텐츠그룹,(유)조이앤컨텐츠그룹,2016-01-07,개봉영화,장편,중국,1,"4,000",1,멜로/로맨스,청소년관람불가,일반영화
16413,신 배틀로얄:극악 소년원,야마가 타카유키,,(주)영진크리에이티브,영진크리에이티브,2019-01-10,개봉영화,장편,일본,1,"6,000",1,액션,청소년관람불가,일반영화
16414,신 배틀로얄:극악 소년원2,야마가 타카유키,,(주)영진크리에이티브,영진크리에이티브,2019-01-10,개봉영화,장편,일본,1,"6,000",1,액션,청소년관람불가,일반영화
16415,신 복수무정,로스 보야스크,,하드릴컴퍼니,하드릴컴퍼니,2020-08-12,개봉영화,장편,영국,1,"6,000",1,액션,15세이상관람가,일반영화
16416,신 야쿠자,츠지 히로유키,,퍼즐컷,퍼즐컷,2016-12-28,개봉영화,장편,일본,1,"3,000",1,스릴러,청소년관람불가,일반영화
16417,신규오픈 마사지샵의 신기술,,,,,2019-11-08,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16418,신랑은 몰라요-바람,이가라시 히로츠구,,(주)도키엔터테인먼트,도키엔터테인먼트,2016-07-27,개봉영화,장편,일본,1,"8,000",1,성인물(에로),청소년관람불가,일반영화
16419,신밧드와 복수의 여신들,스콧 휠러,,(주)케이알씨지,케이알씨지,2017-12-21,개봉영화,장편,미국,1,"2,000",1,판타지,15세이상관람가,일반영화
16420,신부의 어느날,마츠모토 신지,,,라온컴퍼니플러스,2022-02-21,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16421,신어우동,김태수,너바나 필름,,컨텐츠 빌리지,2017-09-21,개봉영화,장편,한국,1,"3,000",1,멜로/로맨스,청소년관람불가,일반영화
16422,신오오쿠보이야기:마이네임,후지와라 켄이치,,(주)영진크리에이티브,영진크리에이티브,2017-11-22,개봉영화,장편,일본,1,"6,000",1,드라마,12세이상관람가,일반영화
16423,신의 기적,,,(유)조이앤시네마,(유)조이앤시네마,2017-04-18,개봉영화,장편,미국,1,"3,000",1,드라마,15세이상관람가,일반영화
16424,신인 AV 여배우의 첫 촬영,타케다 케이시,,(주)빅콘미디어,빅콘미디어,2020-11-02,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16425,신임여교사 미숙한진로지도,하뉴켄지,,(주)영진크리에이티브,영진크리에이티브,2017-08-29,개봉영화,장편,일본,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16426,신입 게이샤는 유부녀,테이 쟈가,,(주)도키엔터테인먼트,도키엔터테인먼트,2016-07-06,개봉영화,장편,일본,1,"8,000",1,성인물(에로),청소년관람불가,일반영화
16427,신입 마사지사의 에로교육,후지타 미키오,,(주)도키엔터테인먼트,도키엔터테인먼트,2017-06-02,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16428,신입 여사원,한동호,주식회사 플릭스코,,주식회사 플릭스코,2020-12-23,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16429,신입 여사원 길들이기,아사기리 조,,(주)빅콘미디어,빅콘미디어,2020-08-04,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16430,신입 여직원 길들이기,아사기리 키요시,,(주)레드언더미디어,레드언더미디어,2018-11-20,개봉영화,장편,일본,1,"2,000",1,,청소년관람불가,일반영화
16431,신입거유녀의 세발 명중,카토 요시카즈,,(주)도키엔터테인먼트,도키엔터테인먼트,2017-05-04,개봉영화,장편,일본,1,"8,000",1,성인물(에로),청소년관람불가,일반영화
16432,신입사원(무삭제판),한동호,(주)가온콘텐츠,,가온콘텐츠,2018-05-15,개봉영화,장편,한국,1,"5,000",1,멜로/로맨스,청소년관람불가,일반영화
16433,신천역 3번출구-확장판,노현진,(주)나우콘텐츠,,나우콘텐츠,2020-06-30,개봉영화,장편,한국,1,"2,000",1,멜로/로맨스,청소년관람불가,일반영화
16434,신혼 여선배:시간아 멈춰라,와카마츠 쇼군,,,영진크리에이티브,2020-10-21,개봉영화,장편,일본,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16435,신혼 여선배:시간아 멈춰라 무삭제판,와카마츠 쇼군,,,영진크리에이티브,2021-02-08,개봉영화,장편,일본,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16436,신혼2년차의 비밀촬영,스즈키 켄이치로,,(주)도키엔터테인먼트,도키엔터테인먼트,2019-03-08,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16437,신혼녀의 뜨거운 호흡,와타나베 모토츠구,,(주)도키엔터테인먼트,도키엔터테인먼트,2016-11-10,개봉영화,장편,일본,1,"8,000",1,성인물(에로),청소년관람불가,일반영화
16438,신혼밤 제대로 보여드립니다,,,(주)도키엔터테인먼트,도키엔터테인먼트,2020-05-02,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16439,신혼부부,나카메구로 코우지,,(주)플라이어,플라이어,2018-03-20,개봉영화,장편,일본,1,"6,000",1,드라마,청소년관람불가,일반영화
16440,신혼부부의 성생활 무삭제,조태호,(주)영화사가을,,영화사가을,2018-11-13,개봉영화,장편,한국,1,"5,000",1,멜로/로맨스,청소년관람불가,일반영화
16441,신혼여행 : 불륜,김정오,(주)영화사가을,,영화사가을,2017-01-17,개봉영화,장편,한국,1,"5,000",1,멜로/로맨스,청소년관람불가,일반영화
