,순번,영화명,네이버URL,이미지URL,제작연도,감독,출연,평점,연도
185,479,글러브,https://movie.naver.com/movie/bi/mi/basic.nhn?code=73477,https://ssl.pstatic.net/imgmovie/mdi/mit110/0734/73477_P31_112919.jpg,2011,['강우석'],"['정재영', '유선', '강신일', '조진웅', '김미경']",8.85,2011
187,480,러브 액츄얼리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=36843,https://ssl.pstatic.net/imgmovie/mdi/mit110/0368/36843_P107_111559.jpg,2003,['리차드 커티스'],"['휴 그랜트', '콜린 퍼스', '리암 니슨', '키이라 나이틀리', '엠마 톰슨', '앨런 릭먼', '빌 나이', '로라 리니', '마틴 맥커친']",8.92,2003
189,483,해결사,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72962,https://ssl.pstatic.net/imgmovie/mdi/mit110/0729/72962_P19_111739.jpg,2010,['권혁재'],"['설경구', '이정진', '오달수']",7.57,2010
191,490,코리아,https://movie.naver.com/movie/bi/mi/basic.nhn?code=81891,https://ssl.pstatic.net/imgmovie/mdi/mit110/0818/81891_P04_175312.jpg,2012,['문현성'],"['하지원', '배두나']",8.56,2012
193,493,집으로 가는 길,https://movie.naver.com/movie/bi/mi/basic.nhn?code=96961,https://ssl.pstatic.net/imgmovie/mdi/mit110/0969/96961_P63_101259.jpg,2013,['방은진'],"['전도연', '고수']",8.83,2013
195,494,악마를 보았다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72408,https://ssl.pstatic.net/imgmovie/mdi/mit110/0724/72408_P22_110138.jpg,2010,['김지운'],"['이병헌', '최민식']",8.04,2010
197,495,바람피기 좋은 날,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62290,https://ssl.pstatic.net/imgmovie/mdi/mit110/0622/F2290-00.jpg,2007,['장문일'],"['김혜수', '윤진서', '이종혁', '이민기']",5.81,2007
201,502,변신,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180351,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180351_P52_141008.jpg,2019,['김홍선'],"['배성우', '성동일', '장영남', '김혜준', '조이현', '김강훈']",6.73,2019
205,515,나를 찾아줘,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175324,https://ssl.pstatic.net/imgmovie/mdi/mit110/1753/175324_P35_112404.jpg,2019,['김승우'],"['이영애', '유재명', '박해준', '이원근']",6.77,2019
206,515,나를 찾아줘,https://movie.naver.com/movie/bi/mi/basic.nhn?code=116234,https://ssl.pstatic.net/imgmovie/mdi/mit110/1162/116234_P06_142426.jpg,2014,['데이빗 핀처'],"['벤 애플렉', '로자먼드 파이크']",8.31,2014
