순번,영화명,네이버URL,이미지URL,연도,감독,출연,평점
134,명탐정 코난: 진홍의 수학여행,https://movie.naver.com/movie/bi/mi/basic.nhn?code=199887,https://ssl.pstatic.net/imgmovie/mdi/mit110/1998/199887_P13_153059.jpg,1996,['야마모토 야스이치로'],"['야마구치 캇페이', '야마자키 와카나', '히다카 노리코', '호리카와 료']",7.53
135,리틀 프린세스 소피아: 신비한 섬,https://movie.naver.com/movie/bi/mi/basic.nhn?code=165514,https://ssl.pstatic.net/imgmovie/mdi/mit110/1655/165514_P10_140858.jpg,2017,['제이미 밋첼'],"['김미랑', '서지연']",8.44
136,극장판 쿠로코의 농구 라스트 게임,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156185,https://ssl.pstatic.net/imgmovie/mdi/mit110/1561/156185_P01_161901.jpg,2017,['타다 슌스케'],"['오노 켄쇼', '오노 유우키', '사이토 치와']",9.10
138,본즈 앤 올,https://movie.naver.com/movie/bi/mi/basic.nhn?code=220464,https://ssl.pstatic.net/imgmovie/mdi/mit110/2204/220464_P13_165801.jpg,2022,['루카 구아다니노'],"['테일러 러셀', '티모시 샬라메', '마크 라이런스', '클로에 세비니']",8.06
139,극장판 5등분의 신부,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213383,https://ssl.pstatic.net/imgmovie/mdi/mit110/2133/213383_P01_171412.png,2022,,"['마츠오카 요시츠구', '하나자와 카나', '타케타츠 아야나', '이토 미쿠', '사쿠라 아야네', '미나세 이노리']",8.84
140,기생수 파트2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=127364,https://ssl.pstatic.net/imgmovie/mdi/mit110/1273/127364_P12_101804.jpg,2015,['야마자키 다카시'],"['소메타니 쇼타', '후카츠 에리', '하시모토 아이', '아베 사다오']",7.52
141,엔시티 드림 더 무비 : 인 어 드림,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213252,https://ssl.pstatic.net/imgmovie/mdi/mit110/2132/213252_P00_095407.jpeg,2022,"['이예지', '오윤동']","['마크', '런쥔', '제노', '해찬', '재민', '천러', '지성']",9.23
143,1919 유관순,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182407,https://ssl.pstatic.net/imgmovie/mdi/mit110/1824/182407_P00_105405.jpg,2019,['신상민'],"['이새봄', '양윤희', '김나니', '박자희', '김규리', '김무늬', '류의도', '장세아', '황도원', '문보람', '나애진']",8.36
144,에브리바디 올라잇,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74196,https://ssl.pstatic.net/imgmovie/mdi/mit110/0741/74196_P00_155724.jpg,2010,['리사 촐로덴코'],"['줄리안 무어', '아네트 베닝', '마크 러팔로', '미아 와시코브스카', '조쉬 허처슨']",7.55
146,황당한 외계인: 폴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=74101,https://ssl.pstatic.net/imgmovie/mdi/mit110/0741/74101_P06_142418.jpg,2011,['그렉 모톨라'],"['사이먼 페그', '닉 프로스트', '제이슨 베이트먼', '크리스틴 위그', '시고니 위버', '세스 로건']",7.75
148,디센트: Part 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=70117,https://ssl.pstatic.net/imgmovie/mdi/mit110/0701/70117_P15_212543.jpg,2009,['존 해리스'],"['슈어나 맥도널드', '나탈리 잭슨 멘도자', '크리스튼 커밍스', '가번 오헐리히', '더글라스 호지', '조쉬 콜', '알렉스 레이드', '사스키아 멀더', '노라 제인 눈', '미안나 버링']",6.98
149,퍼피 구조대 더 무비,https://movie.naver.com/movie/bi/mi/basic.nhn?code=207360,https://ssl.pstatic.net/imgmovie/mdi/mit110/2073/207360_P09_141045.jpg,2021,['캘런 브런커'],"['정선혜', '신용우', '김새해', '엄상현', '박지윤', '문남숙', '전숙경', '은영선', '사성웅']",9.39
150,톨스토이의 마지막 인생,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72441,https://ssl.pstatic.net/imgmovie/mdi/mit110/0724/72441_P30_103243.jpg,2009,['마이클 호프만'],"['헬렌 미렌', '크리스토퍼 플러머', '폴 지아마티', '앤 마리 더프', '케리 콘돈', '제임스 맥어보이']",8.13
153,빅샤크4 : 바다공룡 대모험,https://movie.naver.com/movie/bi/mi/basic.nhn?code=210931,https://ssl.pstatic.net/imgmovie/mdi/mit110/2109/210931_P35_112735.jpg,2020,['장초'],"['김용', '김소희', '박시윤', '서정익']",5.97
154,아더와 미니모이3: 두 세계의 전쟁,https://movie.naver.com/movie/bi/mi/basic.nhn?code=51055,https://ssl.pstatic.net/imgmovie/mdi/mit110/0510/51055_P14_104242.jpg,2010,['뤽 베송'],"['프레디 하이모어', '페니 밸포어', '셀레나 고메즈', '루 리드', '지미 펄론']",7.55
155,주온: 더 파이널,https://movie.naver.com/movie/bi/mi/basic.nhn?code=140015,https://ssl.pstatic.net/imgmovie/mdi/mit110/1400/140015_P00_134211.jpg,2015,['오치아이 마사유키'],"['타이라 아이리', '키리야마 렌']",4.20
156,바다 탐험대 옥토넛 시즌4: 빙하탐험선S,https://movie.naver.com/movie/bi/mi/basic.nhn?code=147355,https://ssl.pstatic.net/imgmovie/mdi/mit110/1473/147355_P00_101136.jpg,2015,['다라 오코넬'],"['하성용', '정재헌', '엄상현', '윤승희', '김정은', '유동균', '김율', '한경화']",7.69
157,결정적 한방,https://movie.naver.com/movie/bi/mi/basic.nhn?code=85660,https://ssl.pstatic.net/imgmovie/mdi/mit110/0856/85660_P04_102925.jpg,2011,['박중구'],"['유동근', '윤진서', '김정훈', '오광록']",6.25
