,영화명,감독,배급사,개봉일,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,연도,월,계절
3836,걸,루카스 돈트,(주)리틀빅픽쳐스,2021-01-07,장편,독일,239,44184510,4872,드라마,15세관람가,독립/예술영화,2021,1,겨울
3837,불량한 가족,장재일,(주)스톰픽쳐스코리아,2020-07-09,장편,한국,161,41519940,4872,코미디,12세관람가,독립/예술영화,2020,7,여름
3838,저니스 엔드,사울 딥,(주)스톰픽쳐스코리아,2018-11-28,장편,영국,63,37714850,4861,전쟁,15세관람가,독립/예술영화,2018,11,가을
3839,쇠파리,안철호,(주)영화사 그램,2017-05-25,장편,한국,56,36279100,4836,범죄,15세관람가,독립/예술영화,2017,5,봄
3840,헬로 몽키,기타,(주)박수엔터테인먼트,2019-11-14,장편,중국,157,35402440,4832,판타지,전체관람가,일반영화,2019,11,가을
3841,지니어스 독,길 정거,(주)키다리이엔티,2020-09-16,장편,미국,142,37463400,4828,코미디,12세관람가,일반영화,2020,9,가을
3842,그녀가 말했다,마리아 슈라더,유니버설픽쳐스인터내셔널 코리아(유),2022-11-30,장편,미국,88,38469300,4824,드라마,15세관람가,일반영화,2022,11,가을
3843,카운터스,이일하,㈜인디스토리,2018-08-15,장편,한국,51,37673900,4819,다큐멘터리,15세관람가,독립/예술영화,2018,8,여름
3844,나이트메어 시네마,기타무라 류헤이,(주)영화사 빅,2019-07-17,장편,미국,97,42923628,4817,공포(호러),청소년관람불가,일반영화,2019,7,여름
3845,리벤지,코랄리 파르쟈,(주)팝엔터테인먼트,2020-05-06,장편,프랑스,143,40284300,4814,액션,청소년관람불가,독립/예술영화,2020,5,봄
3846,은하철도의 꿈,니시쿠보 미즈호,(주)영화사오원,2015-04-09,장편,일본,85,35438000,4812,애니메이션,전체관람가,독립/예술영화,2015,4,봄
3847,슈퍼문,홍대영,예지림엔터테인먼트,2021-09-09,장편,한국,200,41532780,4778,애니메이션,전체관람가,독립/예술영화,2021,9,가을
3848,봉쇄수도원 카르투시오,김동일,커넥트픽쳐스(주),2020-11-19,장편,한국,125,40591180,4777,다큐멘터리,전체관람가,독립/예술영화,2020,11,가을
3849,더 퍼지: 포에버,에베라도 발레리오 구트,유니버설픽쳐스인터내셔널 코리아(유),2021-07-14,장편,미국,52,32656830,4774,스릴러,청소년관람불가,일반영화,2021,7,여름
3850,B컷,김진영,TCO(주)더콘텐츠온,2022-03-30,장편,한국,84,36525500,4763,범죄,청소년관람불가,일반영화,2022,3,봄
3851,블리딩 스틸,장립가,(주)박수엔터테인먼트,2018-04-19,장편,중국,116,38266600,4754,액션,15세관람가,독립/예술영화,2018,4,봄
3852,요나요나 펭귄,린 타로,(주)넥스트엔터테인먼트월드(NEW),2012-01-12,장편,일본,53,30973500,4753,애니메이션,전체관람가,일반영화,2012,1,겨울
3853,문빔베어: 달을 사랑한 작은 곰,마이크 마우루스,(주)시너지하우스 (시너지),2013-05-01,장편,독일,93,31145000,4747,가족,전체관람가,일반영화,2013,5,봄
3854,여타짜,이지승,(주)박수엔터테인먼트,2021-12-08,장편,한국,152,40700840,4746,범죄,15세관람가,일반영화,2021,12,겨울
3855,디지몬 어드벤처 : 라스트 에볼루션 인연,타구치 토모히사,(주)얼리버드픽쳐스,2021-02-17,장편,일본,70,49397000,4739,애니메이션,12세관람가,일반영화,2021,2,겨울
3856,캅샵: 미친놈들의 전쟁,조 카나한,(주)제이앤씨미디어그룹,2021-12-09,장편,미국,139,41726370,4733,액션,15세관람가,일반영화,2021,12,겨울
3857,트롤 킹,케빈 먼로,(주)박수엔터테인먼트,2020-10-07,장편,기타,190,36520010,4728,애니메이션,전체관람가,일반영화,2020,10,가을
3858,후로티로봇 극장판,토미 왕,(주)박수엔터테인먼트,2019-08-29,장편,중국,177,36110740,4727,어드벤처,전체관람가,일반영화,2019,8,여름
3859,로그 인 벨지움,유태오,(주)엣나인필름,2021-12-01,장편,한국,53,47005240,4725,다큐멘터리,전체관람가,독립/예술영화,2021,12,겨울
3860,호라이즌 라인,마이클 마키마인,(주)제이앤씨미디어그룹,2021-02-10,장편,미국,79,32305070,4716,스릴러,12세관람가,일반영화,2021,2,겨울
3861,팔로우 미,기타,(주)디스테이션,2020-10-22,장편,미국,138,38775300,4715,스릴러,15세관람가,일반영화,2020,10,가을
3862,금빛 모자이크 프리티 데이즈,다나카 모토키,(주)퍼스트런,2017-02-16,장편,일본,80,34265500,4709,애니메이션,전체관람가,일반영화,2017,2,겨울
3863,모추어리 컬렉션,기타,(주)이놀미디어,2021-01-21,장편,미국,115,37557400,4693,판타지,청소년관람불가,독립/예술영화,2021,1,겨울
3864,위스키 탱고 폭스트롯,글렌 피카라,(주)디스테이션,2016-11-10,장편,미국,108,35228370,4682,전쟁,15세관람가,독립/예술영화,2016,11,가을
3865,해적왕의 황금나침반,마이크 마주크,와이드 릴리즈(주),2014-11-27,장편,독일,62,33506600,4682,가족,전체관람가,독립/예술영화,2014,11,가을
3866,라이엇 클럽,론 쉐르픽,(주)영화사 진진,2015-10-22,장편,영국,53,37266300,4662,드라마,청소년관람불가,독립/예술영화,2015,10,가을
3867,푸른 호수,저스틴 전,유니버설픽쳐스인터내셔널 코리아(유),2021-10-13,장편,미국,139,35491120,4655,드라마,12세관람가,일반영화,2021,10,가을
3868,럭키 몬스터,봉준영,(주)영화사 그램,2020-12-03,장편,한국,101,34603580,4645,드라마,청소년관람불가,독립/예술영화,2020,12,겨울
3869,나를 죽여줘,최익환,(주)트리플픽쳐스,2022-10-19,장편,한국,112,39655296,4636,드라마,15세관람가,독립/예술영화,2022,10,가을
3870,국카스텐 콘서트 실황 : 해프닝,기타,CGV ICECON,2021-03-24,장편,한국,54,82419000,4611,공연,전체관람가,일반영화,2021,3,봄
3871,아-하: 테이크 온 미,아슬레우 홀름,주식회사 컨텐츠썬,2021-09-22,장편,기타,53,39303900,4592,다큐멘터리,12세관람가,독립/예술영화,2021,9,가을
3872,프로디지,니콜라스 맥카시,판씨네마(주),2019-04-04,장편,미국,123,39493020,4592,공포(호러),15세관람가,독립/예술영화,2019,4,봄
3873,슈팅걸스,배효민,(주)영화사오원,2020-05-06,장편,한국,207,35823060,4587,드라마,12세관람가,독립/예술영화,2020,5,봄
3874,극장판 기븐,야마구치 히카루,(주)애니플러스,2020-11-26,장편,일본,103,40516790,4585,애니메이션,15세관람가,일반영화,2020,11,가을
3875,트라이앵글,크리스토퍼 스미스,와이드 릴리즈(주),2018-08-29,장편,영국,82,32766850,4558,공포(호러),15세관람가,독립/예술영화,2018,8,여름
3876,트라이앵글,지영수,CJ ENM,2009-11-19,장편,한국,54,34225859,4555,드라마,전체관람가,일반영화,2009,11,가을
3877,화이트 노이즈,노아 바움백,씨제이 씨지브이(CJ CGV)(주),2022-12-07,장편,미국,62,36305700,4534,코미디,15세관람가,일반영화,2022,12,겨울
3878,킹덤2: 아득한 대지로,사토 신스케,(주)이놀미디어,2022-11-16,장편,미국,112,37839200,4526,액션,15세관람가,독립/예술영화,2022,11,가을
3879,아이를 위한 아이,이승환,(주)트리플픽쳐스,2022-07-21,장편,한국,51,38482300,4515,기타,12세관람가,독립/예술영화,2022,7,여름
3880,너는 착한 아이,오미보,(주)디스테이션,2016-03-24,장편,일본,51,33959800,4514,드라마,전체관람가,독립/예술영화,2016,3,봄
3881,블랙 쉐도우,아마리아 올슨,(주)스톰픽쳐스코리아,2017-07-13,장편,미국,144,33762500,4502,액션,15세관람가,일반영화,2017,7,여름
3882,미스 유 올레디,캐서린 하드윅,(주)디스테이션,2017-10-03,장편,영국,73,33207200,4499,드라마,15세관람가,독립/예술영화,2017,10,가을
3883,아무도 없다,존 하이암스,판씨네마(주),2020-09-09,장편,미국,122,38901450,4478,스릴러,15세관람가,독립/예술영화,2020,9,가을
3884,튼튼이의 모험,고봉수,CGV아트하우스,2018-06-21,장편,한국,88,34307600,4476,코미디,15세관람가,독립/예술영화,2018,6,여름
3885,세상끝의 사랑,김인식,(주)스톰픽쳐스코리아,2015-11-12,장편,한국,97,34737300,4472,멜로/로맨스,청소년관람불가,일반영화,2015,11,가을
3886,내일도 우린 사랑하고 있을까,주남,(주)디스테이션,2021-03-11,장편,중국,129,31768800,4451,드라마,12세관람가,독립/예술영화,2021,3,봄
3887,세계일주,이항배,(주)나이너스엔터테인먼트,2015-03-26,장편,한국,56,32479400,4449,가족,12세관람가,독립/예술영화,2015,3,봄
3888,그녀는 거짓말을 너무 사랑해,코이즈미 노리히로,(주)영화사 빅,2018-01-24,장편,일본,108,35446200,4448,멜로/로맨스,12세관람가,독립/예술영화,2018,1,겨울
3889,브라더 오브 더 이어,위타야 통유용,(주)영화사오원,2019-03-07,장편,기타,58,34937080,4429,코미디,12세관람가,독립/예술영화,2019,3,봄
3890,내가 날 부를 때,기타,(주)영화특별시에스엠씨,2021-09-09,장편,중국,97,40978490,4417,드라마,12세관람가,독립/예술영화,2021,9,가을
3891,트라이얼 오브 더 시카고 7,아론 소킨,플러스엠 엔터테인먼트,2020-10-07,장편,미국,103,35893730,4412,드라마,15세관람가,독립/예술영화,2020,10,가을
3892,나만이 없는 거리,히라카와 유이치로,(주)박수엔터테인먼트,2016-08-17,장편,일본,63,33113000,4392,드라마,15세관람가,일반영화,2016,8,여름
3893,사랑 후의 두 여자,기타,판씨네마(주),2022-03-30,장편,영국,55,37990180,4392,드라마,15세관람가,독립/예술영화,2022,3,봄
3894,온리 갓 포기브스,니콜라스 윈딩 레픈,주식회사 우리네트웍스,2014-04-24,장편,미국,61,32584500,4389,액션,청소년관람불가,독립/예술영화,2014,4,봄
3895,걸즈 앤 판처 최종장 제1화,미즈시마 츠토무,(주)디스테이션,2020-01-08,장편,일본,55,38676620,4380,애니메이션,12세관람가,일반영화,2020,1,겨울
3896,미스,기타,예지림엔터테인먼트,2021-05-12,장편,프랑스,105,35870730,4365,코미디,15세관람가,독립/예술영화,2021,5,봄
3897,에베레스트,이인항,(주)제이앤씨미디어그룹,2020-07-22,장편,중국,142,36419640,4356,액션,15세관람가,일반영화,2020,7,여름
3898,15소년 표류기: 해적섬을 탈출하라,나카무라 류타로,에이원엔터테인먼트,2014-11-27,장편,일본,56,28511700,4341,애니메이션,전체관람가,일반영화,2014,11,가을
3899,낮과 달,이영아,찬란,2022-10-20,장편,한국,52,35517098,4339,드라마,15세관람가,독립/예술영화,2022,10,가을
3900,고 피쉬!,숀 패트릭 오렐리,(주)박수엔터테인먼트,2020-07-23,장편,미국,138,33952780,4338,애니메이션,전체관람가,일반영화,2020,7,여름
3901,베이비티스,기타,M&M 인터내셔널,2020-10-22,장편,기타,57,36583130,4329,코미디,15세관람가,독립/예술영화,2020,10,가을
3902,인투 더 미러,아이작 에즈반,(주)팝엔터테인먼트,2021-02-17,장편,기타,219,38530340,4306,SF,15세관람가,일반영화,2021,2,겨울
3903,안녕까지 30분,기타,(주)디스테이션,2020-10-14,장편,일본,115,33447800,4305,판타지,12세관람가,독립/예술영화,2020,10,가을
3904,더 바,알렉스 드 라 이글레시아,(주)영화사 그램,2017-06-15,장편,기타,84,32328100,4287,스릴러,15세관람가,독립/예술영화,2017,6,여름
3905,더 하더 데이 폴,기타,씨제이 씨지브이(CJ CGV)(주),2021-10-20,장편,미국,56,30487300,4286,액션,청소년관람불가,일반영화,2021,10,가을
3906,미인어,주성치,(주)라이크콘텐츠,2017-02-22,장편,중국,69,31631200,4270,판타지,12세관람가,독립/예술영화,2017,2,겨울
3907,미스터 보스,김형기,(주)스톰픽쳐스코리아,2020-12-30,장편,한국,226,34516640,4267,드라마,15세관람가,일반영화,2020,12,겨울
3908,담쟁이,한제이,(주)트리플픽쳐스,2020-10-28,장편,한국,93,33705130,4258,가족,15세관람가,독립/예술영화,2020,10,가을
3909,리틀드래곤 코코넛2: 정글대탐험,안소니 파워,(주)팝엔터테인먼트,2021-02-24,장편,독일,147,35175910,4241,애니메이션,전체관람가,일반영화,2021,2,겨울
3910,왕을 참하라,김재수,(주)박수엔터테인먼트,2017-03-16,장편,한국,54,32469800,4237,드라마,청소년관람불가,일반영화,2017,3,봄
3911,카고,제임스 쿨렌 브레삭,와이드 릴리즈(주),2022-09-15,장편,미국,217,38870078,4231,애니메이션,전체관람가,일반영화,2022,9,가을
3912,화씨 11/9: 트럼프의 시대,마이클 무어,(주)누리픽쳐스,2018-11-22,장편,미국,73,33604550,4212,다큐멘터리,15세관람가,독립/예술영화,2018,11,가을
3913,프록시마 프로젝트,앨리스 위노코,(주)영화사 진진,2020-10-15,장편,프랑스,86,36329750,4185,드라마,12세관람가,독립/예술영화,2020,10,가을
3914,다시 만난 날들,심찬양,(주)영화사오원,2020-09-24,장편,한국,105,37245780,4176,뮤지컬,12세관람가,독립/예술영화,2020,9,가을
3915,수부라 게이트,스테파노 솔리마,(주)팝엔터테인먼트,2017-09-07,장편,기타,104,29989100,4173,범죄,청소년관람불가,독립/예술영화,2017,9,가을
3916,와일드 시티,론 스캘펠로,와이드 릴리즈(주),2020-06-17,장편,영국,111,35310180,4168,액션,청소년관람불가,독립/예술영화,2020,6,여름
3917,드래곤 빌리지,기타,와이드 릴리즈(주),2019-12-12,장편,기타,82,27780900,4163,판타지,전체관람가,일반영화,2019,12,겨울
3918,레미: 집 없는 아이,앙트완 블로시에르,(주)팝엔터테인먼트,2020-05-28,장편,프랑스,168,33242380,4160,가족,전체관람가,독립/예술영화,2020,5,봄
3919,와일드 마운틴 타임,존 패트릭 셰인리,(주)영화사 빅,2021-03-24,장편,영국,272,35789910,4155,멜로/로맨스,12세관람가,독립/예술영화,2021,3,봄
3920,부에나 비스타 소셜 클럽 2: 아디오스,루시 워커,글뫼 주식회사,2017-10-26,장편,미국,75,31662000,4122,다큐멘터리,12세관람가,독립/예술영화,2017,10,가을
3921,부산행:익스텐디드,연상호,(주)넥스트엔터테인먼트월드(NEW),2020-07-01,장편,한국,88,32808500,4117,액션,15세관람가,일반영화,2020,7,여름
3922,알리바이 닷 컴,필리프 라슈,판씨네마(주),2018-11-07,장편,프랑스,178,34028600,4112,코미디,15세관람가,일반영화,2018,11,가을
3923,페뷸러스,멜라니 샤르본느,(주)싸이더스,2020-11-05,장편,기타,71,36572280,4109,코미디,15세관람가,독립/예술영화,2020,11,가을
3924,"구름의 저편, 약속의 장소",신카이 마코토,(주)미디어캐슬,2017-02-28,장편,일본,123,29747400,4105,애니메이션,12세관람가,독립/예술영화,2017,2,겨울
3925,디스트로이어,캐린 쿠사마,(주)라이크콘텐츠,2019-09-19,장편,미국,92,33350000,4080,범죄,15세관람가,독립/예술영화,2019,9,가을
3926,매지컬: 공주를 웃겨라,정윤철,(주)에이원엔터테인먼트,2020-09-17,장편,한국,220,31809670,4077,애니메이션,전체관람가,일반영화,2020,9,가을
3927,누군가 어디에서 나를 기다리면 좋겠다,아르노 비야르,(주)영화사 진진,2020-12-17,장편,프랑스,54,31003550,4072,드라마,15세관람가,독립/예술영화,2020,12,겨울
3928,맹크,데이빗 핀처,플러스엠 엔터테인먼트,2020-11-18,장편,미국,100,36063560,4036,드라마,15세관람가,독립/예술영화,2020,11,가을
3929,노크 노크,일라이 로스,(주)팝엔터테인먼트,2015-10-22,장편,미국,72,33317500,4024,스릴러,청소년관람불가,일반영화,2015,10,가을
3930,로그,M.J. 버세트,(주)스톰픽쳐스코리아,2020-11-25,장편,미국,180,31203140,4012,액션,15세관람가,일반영화,2020,11,가을
3931,베러 와치 아웃,크리스 페코버,(주)스톰픽쳐스코리아,2018-02-08,장편,기타,123,32568300,3995,공포(호러),청소년관람불가,독립/예술영화,2018,2,겨울
3932,해시태그 시그네,기타,판씨네마(주),2023-01-11,장편,기타,59,40927853,3971,멜로/로맨스,15세관람가,독립/예술영화,2023,1,겨울
3933,옆집사람,염지호,(주)디스테이션,2022-11-03,장편,한국,72,30448757,3964,스릴러,15세관람가,독립/예술영화,2022,11,가을
3934,파로호,임상수,(주)더쿱디스트리뷰션,2022-08-18,장편,한국,51,34887400,3920,스릴러,15세관람가,독립/예술영화,2022,8,여름
3935,쁘떼뜨,마틴 슈라이어,예지림엔터테인먼트,2021-03-10,장편,독일,105,33256200,3915,멜로/로맨스,12세관람가,독립/예술영화,2021,3,봄
3936,원피스 : 에피소드 오브 메리 ~ 또 하나의 동료 이야기 ~,토코로 카츠미,와이드 릴리즈(주),2014-08-28,장편,일본,79,28590200,3902,애니메이션,15세관람가,독립/예술영화,2014,8,여름
3937,퍼스트 러브,미이케 다카시,와이드 릴리즈(주),2020-12-17,장편,일본,79,33720500,3883,범죄,청소년관람불가,독립/예술영화,2020,12,겨울
3938,첫번째 아이,허정재,(주)더쿱디스트리뷰션,2022-11-10,장편,한국,59,35330897,3851,드라마,12세관람가,독립/예술영화,2022,11,가을
3939,레이스,스티븐 홉킨스,(주)영화사 빅,2016-05-25,장편,기타,62,28867900,3849,드라마,12세관람가,독립/예술영화,2016,5,봄
3940,언프리티 소셜 스타,맷 스파이서,(주)디스테이션,2018-02-22,장편,미국,142,29438700,3849,코미디,15세관람가,독립/예술영화,2018,2,겨울
3941,부니베어: 애들이 줄었어요,정량,(주)라이크콘텐츠,2021-10-07,장편,중국,154,31286300,3839,애니메이션,전체관람가,독립/예술영화,2021,10,가을
3942,사랑해! 진영아,이성은,㈜인디스토리,2013-11-07,장편,한국,79,26852000,3823,드라마,15세관람가,독립/예술영화,2013,11,가을
3943,식구,임영훈,(주)스톰픽쳐스코리아,2018-07-12,장편,한국,52,30175400,3816,드라마,15세관람가,독립/예술영화,2018,7,여름
3944,내가 처음으로 사랑한 소녀,기타,(주)박수엔터테인먼트,2022-04-27,장편,기타,68,32764370,3808,멜로/로맨스,15세관람가,독립/예술영화,2022,4,봄
3945,워스,사라 코랑겔로,(주)홈초이스,2021-07-21,장편,미국,65,34040020,3782,드라마,12세관람가,독립/예술영화,2021,7,여름
3946,이니시에이션 러브,츠츠미 유키히코,(주)박수엔터테인먼트,2016-03-17,장편,일본,120,29475000,3781,멜로/로맨스,12세관람가,일반영화,2016,3,봄
3947,청춘학당 : 풍기문란 보쌈 야사,도창훈,(주)박수엔터테인먼트,2014-03-27,장편,한국,57,26637900,3772,멜로/로맨스,청소년관람불가,일반영화,2014,3,봄
3948,용길이네 곱창집,정의신,(주)영화사 그램,2020-03-12,장편,일본,93,30463160,3753,드라마,15세관람가,독립/예술영화,2020,3,봄
3949,맨헌트,오우삼,주식회사 풍경소리,2018-01-25,장편,중국,55,28457500,3738,액션,15세관람가,독립/예술영화,2018,1,겨울
3950,미스터 하이네켄,다니엘 알프레드슨,(주)스톰픽쳐스코리아,2015-09-17,장편,영국,54,29494300,3711,액션,15세관람가,독립/예술영화,2015,9,가을
3951,신비아파트 뮤지컬 시즌3 : 뱀파이어왕의 비밀,김종해,(주)씨제이이엔엠,2021-05-22,장편,한국,55,54186000,3700,공연,전체관람가,일반영화,2021,5,봄
3952,해피 디 데이,켄 마리노,(주)영화사 빅,2020-07-01,장편,미국,153,30493800,3694,코미디,전체관람가,독립/예술영화,2020,7,여름
3953,퍼미션,브라이언 크라노,(주)에스와이코마드,2019-02-27,장편,미국,53,29192210,3685,코미디,청소년관람불가,독립/예술영화,2019,2,겨울
3954,데스티네이션 웨딩,빅터 레빈,(주)유로커뮤니케이션,2018-12-13,장편,미국,85,29269500,3679,코미디,15세관람가,독립/예술영화,2018,12,겨울
3955,적도,렁록만,판씨네마(주),2015-05-28,장편,기타,71,27026500,3679,액션,15세관람가,일반영화,2015,5,봄
3956,소피의 세계,이제한,찬란,2022-03-03,장편,한국,84,31288600,3663,드라마,12세관람가,독립/예술영화,2022,3,봄
3957,지옥의 묵시록 파이널 컷,프란시스 포드 코폴라,(주)디스테이션,2020-11-26,장편,미국,64,33943630,3663,전쟁,청소년관람불가,독립/예술영화,2020,11,가을
3958,은하철도 999 - 극장판,린 타로,(주)디스테이션,2022-10-05,장편,일본,56,37895568,3649,애니메이션,12세관람가,독립/예술영화,2022,10,가을
3959,나의 서른에게,팽수혜,(주)박수엔터테인먼트,2017-11-23,장편,기타,67,26418400,3646,드라마,15세관람가,독립/예술영화,2017,11,가을
3960,힐빌리의 노래,론 하워드,플러스엠 엔터테인먼트,2020-11-11,장편,미국,84,30682780,3646,드라마,청소년관람불가,독립/예술영화,2020,11,가을
3961,큰엄마의 미친봉고,백승환,(주)백그림,2021-01-21,장편,한국,67,24358250,3632,코미디,12세관람가,일반영화,2021,1,겨울
3962,래미의 초특급 시간여행,웨이밍 황,와이드 릴리즈(주),2019-02-27,장편,중국,96,27150800,3610,애니메이션,전체관람가,일반영화,2019,2,겨울
3963,들리나요?,김봉한,(주)트리플픽쳐스,2020-06-10,장편,한국,103,35911140,3598,다큐멘터리,전체관람가,독립/예술영화,2020,6,여름
3964,퍼펙트 스트레인저,파올로 제노베스,(주)삼백상회,2019-10-24,장편,기타,83,25369280,3583,코미디,15세관람가,독립/예술영화,2019,10,가을
3965,어서오시게스트하우스,심요한,(주)리틀빅픽쳐스,2020-08-13,장편,한국,58,31441670,3573,드라마,15세관람가,독립/예술영화,2020,8,여름
3966,빛의 아버지: 파이널 판타지 XIV,노구치 테루오,(주)디스테이션,2021-01-14,장편,일본,98,33411000,3569,드라마,전체관람가,독립/예술영화,2021,1,겨울
3967,스노우 화이트,앤 폰테인,(주)팝엔터테인먼트,2019-10-24,장편,프랑스,77,28614880,3554,드라마,청소년관람불가,독립/예술영화,2019,10,가을
3968,더 시크릿,유발 애들러,TCO(주)더콘텐츠온,2021-01-21,장편,영국,72,24078370,3551,스릴러,15세관람가,독립/예술영화,2021,1,겨울
3969,카메론 포스트의 잘못된 교육,데지레 아카반,(주)팝엔터테인먼트,2020-06-04,장편,미국,108,31208020,3541,드라마,15세관람가,독립/예술영화,2020,6,여름
3970,마샤와 곰: 최고 중에 최고,기타,(주)팝엔터테인먼트,2020-10-08,장편,기타,158,28394500,3525,애니메이션,전체관람가,일반영화,2020,10,가을
3971,비커밍 아스트리드,퍼닐 피셔 크리스텐센,알토미디어(주),2021-05-12,장편,기타,70,30674940,3520,드라마,15세관람가,독립/예술영화,2021,5,봄
3972,유어 러브 송,앤드류 첸,(주)다자인소프트,2022-03-16,장편,기타,59,25588700,3478,멜로/로맨스,12세관람가,독립/예술영화,2022,3,봄
3973,헌티드 파크,타카하시 히로시,(주)삼백상회,2020-05-06,장편,일본,143,30047360,3467,공포(호러),15세관람가,독립/예술영화,2020,5,봄
3974,홈프론트-가족을 지켜라,게리 플레더,(주)팝엔터테인먼트,2014-06-18,장편,미국,55,23849000,3464,액션,15세관람가,일반영화,2014,6,여름
3975,너의 여자친구,이장희,(주)스톰픽쳐스코리아,2019-12-04,장편,한국,74,21916400,3456,코미디,12세관람가,독립/예술영화,2019,12,겨울
3976,인헤리턴스,기타,(주)누리픽쳐스,2020-06-25,장편,미국,58,22257000,3434,스릴러,15세관람가,일반영화,2020,6,여름
3977,"무현, 두 도시 이야기 : 파이널 컷",전인환,㈜인디스토리,2017-08-30,장편,한국,103,24499000,3431,다큐멘터리,15세관람가,독립/예술영화,2017,8,여름
3978,니나 내나,이동은,(주)리틀빅픽쳐스,2019-10-30,장편,한국,51,27337980,3427,드라마,12세관람가,독립/예술영화,2019,10,가을
3979,몬몬몬 몬스터,구파도,주식회사 더쿱,2018-07-12,장편,기타,101,27639200,3426,공포(호러),15세관람가,독립/예술영화,2018,7,여름
3980,유어 아이즈 텔,미키 타카히로,(주)리틀빅픽쳐스,2021-03-11,장편,일본,103,23063760,3375,멜로/로맨스,15세관람가,독립/예술영화,2021,3,봄
3981,꼬마 마법사 레미: 견습 마법사를 찾아서,사토 준이치,(주)얼리버드픽쳐스,2021-05-19,장편,일본,65,37980500,3372,애니메이션,12세관람가,일반영화,2021,5,봄
3982,질투의 역사,정인봉,와이드 릴리즈(주),2019-03-14,장편,한국,83,30276830,3372,멜로/로맨스,15세관람가,독립/예술영화,2019,3,봄
3983,투 러버스 앤 베어,킴 누옌,(주)팝엔터테인먼트,2017-03-30,장편,기타,73,26655200,3364,드라마,청소년관람불가,독립/예술영화,2017,3,봄
3984,엑설런트 어드벤쳐 3,딘 패리소트,(주)누리픽쳐스,2020-11-19,장편,미국,54,17832980,3351,어드벤처,12세관람가,일반영화,2020,11,가을
3985,더 펜션,류장하,(주)영화사오원,2018-06-21,장편,한국,90,30492000,3340,드라마,15세관람가,독립/예술영화,2018,6,여름
3986,비바,패디 브레스내치,(주)팝엔터테인먼트,2016-10-13,장편,기타,71,25521500,3338,드라마,청소년관람불가,독립/예술영화,2016,10,가을
3987,호프,마리아 소달,(주)이놀미디어,2020-12-17,장편,기타,171,27884010,3330,드라마,12세관람가,독립/예술영화,2020,12,겨울
3988,낮에는 덥고 밤에는 춥고,박송열,필름다빈,2022-10-27,장편,한국,51,27001995,3327,드라마,12세관람가,독립/예술영화,2022,10,가을
3989,비행,조성빈,아이 엠,2020-03-19,장편,한국,128,28441440,3326,드라마,15세관람가,독립/예술영화,2020,3,봄
3990,쇼크 웨이브 2,구예도,(주)누리픽쳐스,2021-05-20,장편,중국,61,17952300,3321,액션,15세관람가,일반영화,2021,5,봄
3991,시라이,기타,(주)디스테이션,2020-07-15,장편,일본,70,28571620,3305,공포(호러),15세관람가,독립/예술영화,2020,7,여름
3992,노엘의 선물,알렉산더 코페르,(주)나이너스엔터테인먼트,2015-02-05,장편,프랑스,58,23642900,3282,코미디,전체관람가,독립/예술영화,2015,2,겨울
3993,맛있는 녀석들,순 하이펑,(주)팝엔터테인먼트,2020-07-16,장편,중국,152,26045040,3274,애니메이션,전체관람가,독립/예술영화,2020,7,여름
3994,"그 남자, 좋은 간호사",토비아스 린드홀름,씨제이 씨지브이(CJ CGV)(주),2022-10-19,장편,미국,61,27862000,3261,스릴러,15세관람가,일반영화,2022,10,가을
3995,모리의 정원,오키타 슈이치,(주)영화사 진진,2020-03-26,장편,일본,66,27215720,3245,드라마,전체관람가,독립/예술영화,2020,3,봄
3996,킬 스위치,기타,(주)삼백상회,2020-07-01,장편,미국,51,16260900,3230,SF,15세관람가,일반영화,2020,7,여름
3997,튜브펫주식회사,곽지성,(주)지티지그룹,2022-12-08,장편,한국,55,25999499,3216,드라마,전체관람가,일반영화,2022,12,겨울
3998,스웨그,임성관,(주)영화사오원,2020-12-10,장편,한국,118,30300660,3214,드라마,15세관람가,독립/예술영화,2020,12,겨울
3999,큐브,기타,(주)디스테이션,2022-08-24,장편,일본,51,30326998,3210,스릴러,15세관람가,독립/예술영화,2022,8,여름
4000,약속의 네버랜드,히라카와 유이치로,(주)디스테이션,2022-04-07,장편,일본,59,23051300,3206,판타지,12세관람가,독립/예술영화,2022,4,봄
4001,무명인,김성수,롯데쇼핑㈜롯데엔터테인먼트,2014-05-29,장편,한국,51,25063600,3199,미스터리,15세관람가,일반영화,2014,5,봄
4002,아수라도,윤여창,(주)제이앤씨미디어그룹,2021-03-18,장편,한국,101,27725060,3166,액션,청소년관람불가,일반영화,2021,3,봄
4003,실: 인연의 시작,제제 다카히사,(주)디스테이션,2021-10-14,장편,일본,74,30913390,3116,드라마,12세관람가,독립/예술영화,2021,10,가을
4004,더 그레이트 샤크,기타,(주)제이앤씨미디어그룹,2021-08-05,장편,기타,106,30678650,3114,공포(호러),12세관람가,일반영화,2021,8,여름
4005,와일드 카드,사이먼 웨스트,(주)영화사 빅,2015-03-19,장편,미국,69,23712000,3109,범죄,청소년관람불가,일반영화,2015,3,봄
4006,가을 우체국,임왕태,(주)에스와이코마드,2017-10-19,장편,한국,74,23270700,3099,멜로/로맨스,12세관람가,독립/예술영화,2017,10,가을
4007,샘,황규일,롯데컬처웍스(주)롯데엔터테인먼트,2018-11-29,장편,한국,68,24757750,3098,멜로/로맨스,12세관람가,독립/예술영화,2018,11,가을
