,영화명,감독,배급사,개봉일,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,연도,월,계절
1916,노 게임 노 라이프 -제로-,이시즈카 아츠코,(주)박수엔터테인먼트,2017-10-19,장편,일본,121,739368300,90718,애니메이션,12세관람가,독립/예술영화,2017,10,가을
1917,둠스데이:지구 최후의 날,닐 마샬,영화사청어람(주),2008-06-19,장편,미국,203,598350500,90666,SF,청소년관람불가,일반영화,2008,6,여름
1918,써니 감독판,강형철,(주)씨제이이엔엠,2011-07-28,장편,한국,54,698549500,90562,드라마,청소년관람불가,일반영화,2011,7,여름
1919,주디,루퍼트 굴드,TCO(주)더콘텐츠온,2020-03-25,장편,영국,479,738851760,89719,드라마,12세관람가,독립/예술영화,2020,3,봄
1920,완벽한 파트너,박헌수,타임스토리그룹(주),2011-11-17,장편,한국,166,676141000,89526,코미디,청소년관람불가,독립/예술영화,2011,11,가을
1921,더 보이,데이빗 야로베스키,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019-05-23,장편,미국,509,776591970,89429,공포(호러),15세관람가,일반영화,2019,5,봄
1922,더 매직: 리틀톰과 도둑공주,어네스토 파드롱,㈜코리아스크린,2015-09-24,장편,기타,193,653636700,89358,애니메이션,전체관람가,독립/예술영화,2015,9,가을
1923,슈퍼미니,토마스 자보,판씨네마(주),2014-04-10,장편,프랑스,303,640234500,89328,애니메이션,전체관람가,일반영화,2014,4,봄
1924,캐리와 슈퍼콜라,오성윤,롯데컬처웍스(주)롯데엔터테인먼트,2023-01-18,장편,한국,474,839279628,89190,애니메이션,전체관람가,일반영화,2023,1,겨울
1925,오베라는 남자,하네스 홀름,(주)싸이더스,2016-05-25,장편,기타,255,711736888,89103,드라마,12세관람가,독립/예술영화,2016,5,봄
1926,페이스 블라인드,줄리앙 마그넷,(주)마인스 엔터테인먼트,2012-06-21,장편,미국,179,660556169,88977,범죄,청소년관람불가,일반영화,2012,6,여름
1927,더 콜,브래드 앤더슨,(주)넥스트엔터테인먼트월드(NEW),2013-06-20,장편,미국,241,626952634,88953,스릴러,청소년관람불가,일반영화,2013,6,여름
1928,콜드 라잇 오브 데이,마브룩 엘 메크리,씨너스엔터테인먼트(주),2012-05-17,장편,미국,245,636555090,88522,액션,15세관람가,일반영화,2012,5,봄
1929,레이니 데이 인 뉴욕,우디 앨런,그린나래미디어(주),2020-05-06,장편,미국,563,784272200,88440,코미디,15세관람가,독립/예술영화,2020,5,봄
1930,살인자,이기욱,(주)영화사 빅,2014-01-15,장편,한국,207,656849000,88199,스릴러,청소년관람불가,독립/예술영화,2014,1,겨울
1931,레고 무비2,마이크 미첼,워너브러더스 코리아(주),2019-02-06,장편,미국,442,680374040,88105,애니메이션,전체관람가,일반영화,2019,2,겨울
1932,미드소마,아리 애스터,(주)팝엔터테인먼트,2019-07-11,장편,미국,388,800891816,88055,공포(호러),청소년관람불가,독립/예술영화,2019,7,여름
1933,그대 이름은 장미,조석현,(주)리틀빅픽쳐스,2019-01-16,장편,한국,540,735782970,88054,코미디,12세관람가,일반영화,2019,1,겨울
1934,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,스도 토모노리,(주)애니플러스,2020-10-22,장편,일본,149,787515610,87996,애니메이션,15세관람가,일반영화,2020,10,가을
1935,비몽,김기덕,(주)스폰지이엔티,2008-10-09,장편,한국,100,585055618,87963,드라마,청소년관람불가,독립/예술영화,2008,10,가을
1936,락 오브 에이지,아담 쉥크만,워너브러더스 코리아(주),2012-08-02,장편,미국,243,634870496,87915,뮤지컬,15세관람가,일반영화,2012,8,여름
1937,몬스터 콜,후안 안토니오 바요나,롯데쇼핑㈜롯데엔터테인먼트,2017-09-14,장편,기타,349,686273900,87841,판타지,12세관람가,독립/예술영화,2017,9,가을
1938,사우스포,안톤 후쿠아,씨네그루(주)다우기술,2015-12-03,장편,미국,335,649386248,87426,드라마,15세관람가,일반영화,2015,12,겨울
1939,갤로우즈,크리스 로핑,워너브러더스 코리아(주),2015-09-03,장편,미국,299,674767406,87301,공포(호러),15세관람가,일반영화,2015,9,가을
1940,팅커 테일러 솔저 스파이,토마스 알프레드슨,(주)드림팩트엔터테인먼트,2012-02-09,장편,영국,187,648304500,87155,스릴러,15세관람가,일반영화,2012,2,겨울
1941,김복동,송원근,(주)엣나인필름,2019-08-08,장편,한국,366,696375860,87139,다큐멘터리,12세관람가,독립/예술영화,2019,8,여름
1942,셜록 놈즈,존 스티븐슨,(주)키다리이엔티,2018-10-03,장편,미국,440,644661200,86784,애니메이션,전체관람가,독립/예술영화,2018,10,가을
1943,허큘리스,브렛 래트너,워너브러더스 코리아(주),2014-08-06,장편,미국,278,669733800,86528,액션,15세관람가,일반영화,2014,8,여름
1944,플로리다 프로젝트,션 베이커,오드,2018-03-07,장편,미국,126,726925600,86406,드라마,15세관람가,독립/예술영화,2018,3,봄
1945,슈퍼 프렌즈,이경호,(주)키다리이엔티,2016-08-10,장편,한국,255,633274600,86293,애니메이션,전체관람가,독립/예술영화,2016,8,여름
1946,노매드랜드,클로이 자오,월트디즈니컴퍼니코리아 유한책임회사,2021-04-15,장편,미국,181,800972240,85663,드라마,12세관람가,독립/예술영화,2021,4,봄
1947,숀더쉽,리처드 스타잭,(주)박수엔터테인먼트,2015-08-13,장편,영국,263,592435000,85568,애니메이션,전체관람가,독립/예술영화,2015,8,여름
1948,디 아이,데이빗 모로,(주)쇼박스,2008-06-05,장편,미국,108,542600500,85559,공포(호러),15세관람가,일반영화,2008,6,여름
1949,빅 아이즈,팀 버튼,판씨네마(주),2015-01-28,장편,미국,290,651316335,85200,드라마,12세관람가,독립/예술영화,2015,1,겨울
1950,레전드 오브 래빗,순리준,(주)화앤담이엔티,2012-02-22,장편,중국,225,581200500,85184,애니메이션,전체관람가,일반영화,2012,2,겨울
1951,유스,파올로 소렌티노,그린나래미디어(주),2016-01-07,장편,기타,65,661767600,85166,드라마,15세관람가,독립/예술영화,2016,1,겨울
1952,옥보단 3D,손립기,(주)화앤담이엔티,2011-05-12,장편,기타,269,969826000,84798,성인물(에로),청소년관람불가,일반영화,2011,5,봄
1953,나의 청춘은 너의 것,대몽영,오드,2020-04-29,장편,기타,533,714892500,84442,멜로/로맨스,12세관람가,독립/예술영화,2020,4,봄
